id	name	type	parentshortcut	opshortcut	path	relPath	parentPath	wirePath	depth	tags	isCOMP	nodeX	nodeY	nodeWidth	nodeHeight	dockId	recursiveChildren
9826	par1	parameterCHOP			/project2/elec_municipios_container1/boton_municipios_10/par1	project2/elec_municipios_container1/boton_municipios_10/par1			4		0	130	220	130	90	-1	0
9827	text	textCOMP			/project2/elec_municipios_container1/boton_municipios_10/text	project2/elec_municipios_container1/boton_municipios_10/text	/project2/elec_municipios_container1/boton_municipios_10	text	4		1	130	74	113	96	-1	0
9828	parexec1	parameterexecuteDAT			/project2/elec_municipios_container1/boton_municipios_10/parexec1	project2/elec_municipios_container1/boton_municipios_10/parexec1			4		0	130	-50	128	66	-1	0
9829	panelexec1	panelexecuteDAT			/project2/elec_municipios_container1/boton_municipios_10/panelexec1	project2/elec_municipios_container1/boton_municipios_10/panelexec1			4		0	310	-50	126	62	-1	0
9830	boton_municipios_11	buttonCOMP			/project2/elec_municipios_container1/boton_municipios_11	project2/elec_municipios_container1/boton_municipios_11	/project2/elec_municipios_container1	boton_municipios_11	3		1	1005	-667	160	134	-1	5
9832	par1	parameterCHOP			/project2/elec_municipios_container1/boton_municipios_11/par1	project2/elec_municipios_container1/boton_municipios_11/par1			4		0	130	220	130	90	-1	0
9833	text	textCOMP			/project2/elec_municipios_container1/boton_municipios_11/text	project2/elec_municipios_container1/boton_municipios_11/text	/project2/elec_municipios_container1/boton_municipios_11	text	4		1	130	74	113	96	-1	0
9834	parexec1	parameterexecuteDAT			/project2/elec_municipios_container1/boton_municipios_11/parexec1	project2/elec_municipios_container1/boton_municipios_11/parexec1			4		0	130	-50	128	66	-1	0
9835	panelexec1	panelexecuteDAT			/project2/elec_municipios_container1/boton_municipios_11/panelexec1	project2/elec_municipios_container1/boton_municipios_11/panelexec1			4		0	310	-50	126	62	-1	0
9836	boton_municipios_12	buttonCOMP			/project2/elec_municipios_container1/boton_municipios_12	project2/elec_municipios_container1/boton_municipios_12	/project2/elec_municipios_container1	boton_municipios_12	3		1	1255	-667	160	134	-1	5
9838	par1	parameterCHOP			/project2/elec_municipios_container1/boton_municipios_12/par1	project2/elec_municipios_container1/boton_municipios_12/par1			4		0	130	220	130	90	-1	0
9839	text	textCOMP			/project2/elec_municipios_container1/boton_municipios_12/text	project2/elec_municipios_container1/boton_municipios_12/text	/project2/elec_municipios_container1/boton_municipios_12	text	4		1	130	74	113	96	-1	0
9840	parexec1	parameterexecuteDAT			/project2/elec_municipios_container1/boton_municipios_12/parexec1	project2/elec_municipios_container1/boton_municipios_12/parexec1			4		0	130	-50	128	66	-1	0
9841	panelexec1	panelexecuteDAT			/project2/elec_municipios_container1/boton_municipios_12/panelexec1	project2/elec_municipios_container1/boton_municipios_12/panelexec1			4		0	310	-50	126	62	-1	0
9842	replicator1_callbacks	textDAT			/project2/elec_municipios_container1/replicator1_callbacks	project2/elec_municipios_container1/replicator1_callbacks			3		0	505	-45	160	130	9769	0
9342	opfind1_callbacks	textDAT			/opfind1_callbacks	opfind1_callbacks			1		0	265	-100	130	90	9844	0
